city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng
Cleves,Cleves,OH,Ohio,39061,Hamilton,39.1635,-84.7468
State Line,State Line,PA,Pennsylvania,42055,Franklin,39.7329,-77.7247
Moulton,Moulton,AL,Alabama,1079,Lawrence,34.4844,-87.2833
Coplay,Coplay,PA,Pennsylvania,42077,Lehigh,40.671,-75.4961
Coleytown,Coleytown,CT,Connecticut,9190,Western Connecticut,41.1742,-73.3461
North River Shores,North River Shores,FL,Florida,12085,Martin,27.2223,-80.2738
Breckenridge,Breckenridge,MN,Minnesota,27167,Wilkin,46.2662,-96.585
Malvern,Malvern,PA,Pennsylvania,42029,Chester,40.0329,-75.5146
Morongo Valley,Morongo Valley,CA,California,6071,San Bernardino,34.0724,-116.5627
Rio Dell,Rio Dell,CA,California,6023,Humboldt,40.5023,-124.1105
Vado,Vado,NM,New Mexico,35013,Doña Ana,32.1278,-106.6571
Fordyce,Fordyce,AR,Arkansas,5039,Dallas,33.8182,-92.4174
Holton,Holton,KS,Kansas,20085,Jackson,39.4699,-95.7319
Hobart,Hobart,OK,Oklahoma,40075,Kiowa,35.0246,-99.0875
Pine Grove,Pine Grove,CA,California,6005,Amador,38.403,-120.6571
Kilauea,Kilauea,HI,Hawaii,15007,Kauai,22.2108,-159.3965
Somerville,Somerville,TN,Tennessee,47047,Fayette,35.2352,-89.3869
Old Mystic,Old Mystic,CT,Connecticut,9180,Southeastern Connecticut,41.3852,-71.9851
Hacienda San José,Hacienda San Jose,PR,Puerto Rico,72025,Caguas,18.2409,-66.0721
Frontenac,Frontenac,KS,Kansas,20037,Crawford,37.4581,-94.7012
Loxahatchee Groves,Loxahatchee Groves,FL,Florida,12099,Palm Beach,26.7106,-80.2763
Water Valley,Water Valley,MS,Mississippi,28161,Yalobusha,34.1622,-89.63
Burbank,Burbank,WA,Washington,53071,Walla Walla,46.2016,-118.9891
Ebensburg,Ebensburg,PA,Pennsylvania,42021,Cambria,40.4884,-78.7264
Vandalia,Vandalia,MO,Missouri,29007,Audrain,39.308,-91.4892
Belville,Belville,NC,North Carolina,37019,Brunswick,34.219,-77.9976
Newcastle,Newcastle,WY,Wyoming,56045,Weston,43.851,-104.2123
Forks,Forks,WA,Washington,53009,Clallam,47.9527,-124.3903
Dewey,Dewey,OK,Oklahoma,40147,Washington,36.7913,-95.9328
Peralta,Peralta,NM,New Mexico,35061,Valencia,34.8283,-106.6859
Millvale,Millvale,PA,Pennsylvania,42003,Allegheny,40.4818,-79.9736
Johnston City,Johnston City,IL,Illinois,17199,Williamson,37.8214,-88.929
Rural Hall,Rural Hall,NC,North Carolina,37067,Forsyth,36.2251,-80.2973
Waldron,Waldron,AR,Arkansas,5127,Scott,34.9022,-94.0953
Llano,Llano,TX,Texas,48299,Llano,30.7509,-98.6763
Pickens,Pickens,SC,South Carolina,45077,Pickens,34.8856,-82.7104
Springdale,Springdale,PA,Pennsylvania,42003,Allegheny,40.5409,-79.7819
Essexville,Essexville,MI,Michigan,26017,Bay,43.6123,-83.8423
Farmerville,Farmerville,LA,Louisiana,22111,Union,32.7752,-92.4013
Altavista,Altavista,VA,Virginia,51031,Campbell,37.1235,-79.2856
Grangeville,Grangeville,ID,Idaho,16049,Idaho,45.926,-116.1224
Slippery Rock,Slippery Rock,PA,Pennsylvania,42019,Butler,41.0695,-80.058
Clare,Clare,MI,Michigan,26035,Clare,43.8259,-84.763
North Plains,North Plains,OR,Oregon,41067,Washington,45.5974,-122.9948
Rio Grande,Rio Grande,NJ,New Jersey,34009,Cape May,39.0193,-74.8787
Level Park-Oak Park,Level Park-Oak Park,MI,Michigan,26025,Calhoun,42.3642,-85.2664
Ponce Inlet,Ponce Inlet,FL,Florida,12127,Volusia,29.0927,-80.9472
Claryville,Claryville,KY,Kentucky,21037,Campbell,38.914,-84.4095
New Haven,New Haven,MO,Missouri,29071,Franklin,38.6048,-91.2179
Saddle River,Saddle River,NJ,New Jersey,34003,Bergen,41.0273,-74.0956
Blackstone,Blackstone,VA,Virginia,51135,Nottoway,37.0822,-78.003
Bunkie,Bunkie,LA,Louisiana,22009,Avoyelles,30.954,-92.1884
Hahira,Hahira,GA,Georgia,13185,Lowndes,30.9941,-83.3786
West Lake Hills,West Lake Hills,TX,Texas,48453,Travis,30.292,-97.8083
Freedom,Freedom,CA,California,6087,Santa Cruz,36.9403,-121.7953
Key Center,Key Center,WA,Washington,53053,Pierce,47.3376,-122.7506
Lake Royale,Lake Royale,NC,North Carolina,37069,Franklin,35.9666,-78.196
Mount Oliver,Mount Oliver,PA,Pennsylvania,42003,Allegheny,40.4113,-79.9856
Parker,Parker,AZ,Arizona,4012,La Paz,34.0286,-114.2224
Red Oak,Red Oak,NC,North Carolina,37127,Nash,36.0415,-77.9064
Madera Ranchos,Madera Ranchos,CA,California,6039,Madera,36.9279,-119.8773
Robins,Robins,IA,Iowa,19113,Linn,42.08,-91.6763
Bunnell,Bunnell,FL,Florida,12035,Flagler,29.4193,-81.3231
Ahtanum,Ahtanum,WA,Washington,53077,Yakima,46.5573,-120.6138
Story City,Story City,IA,Iowa,19169,Story,42.1866,-93.5863
Annandale,Annandale,MN,Minnesota,27171,Wright,45.2599,-94.1205
Ingram,Ingram,PA,Pennsylvania,42003,Allegheny,40.4447,-80.0685
Dandridge,Dandridge,TN,Tennessee,47089,Jefferson,36.0284,-83.4308
Newburgh,Newburgh,IN,Indiana,18173,Warrick,37.9494,-87.4053
Milton,Milton,DE,Delaware,10005,Sussex,38.775,-75.3102
Woodbourne,Woodbourne,PA,Pennsylvania,42017,Bucks,40.2017,-74.8873
Blanding,Blanding,UT,Utah,49037,San Juan,37.6213,-109.5073
Mayfield,Mayfield,OH,Ohio,39035,Cuyahoga,41.5502,-81.4369
Ohioville,Ohioville,PA,Pennsylvania,42007,Beaver,40.6872,-80.4783
Rayville,Rayville,LA,Louisiana,22083,Richland,32.4707,-91.7576
